iter	Passed	Remaining
326	5220	10744
327	5245	10746
328	5269	10746
329	5286	10732
330	5298	10708
331	5312	10688
332	5325	10666
333	5337	10642
334	5348	10616
335	5358	10590
336	5374	10573
337	5386	10549
338	5397	10524
339	5408	10498
340	5419	10473
341	5430	10449
342	5441	10422
343	5452	10397
344	5464	10374
345	5476	10350
346	5486	10324
347	5498	10301
348	5511	10280
349	5522	10256
350	5535	10235
351	5547	10211
352	5558	10188
353	5568	10161
354	5581	10140
355	5593	10118
356	5603	10092
357	5615	10070
358	5626	10046
359	5637	10021
360	5648	9997
361	5662	9979
362	5672	9954
363	5683	9930
364	5694	9907
365	5705	9882
366	5717	9860
367	5727	9836
368	5737	9811
369	5751	9792
370	5765	9775
371	5776	9751
372	5786	9726
373	5797	9703
374	5809	9681
375	5820	9658
376	5831	9637
377	5841	9612
378	5852	9589
379	5863	9566
380	5873	9542
381	5883	9517
382	5892	9493
383	5902	9468
384	5911	9443
385	5921	9419
386	5931	9395
387	5941	9371
388	5951	9347
389	5961	9323
390	5971	9300
391	5980	9276
392	5990	9252
393	5999	9228
394	6012	9208
395	6022	9186
396	6038	9172
397	6067	9177
398	6077	9154
399	6087	9130
400	6096	9106
401	6105	9082
402	6115	9059
403	6126	9037
404	6137	9016
405	6149	8996
406	6159	8973
407	6169	8952
408	6181	8931
409	6191	8909
410	6201	8887
411	6211	8864
412	6222	8844
413	6232	8821
414	6241	8798
415	6258	8785
416	6268	8763
417	6280	8744
418	6290	8723
419	6301	8701
420	6310	8679
421	6321	8658
422	6331	8637
423	6342	8616
424	6352	8594
425	6371	8584
426	6393	8579
427	6586	8801
428	6667	8874
429	6687	8864
430	6704	8851
431	6721	8837
432	6738	8823
433	6756	8811
434	6774	8799
435	6784	8776
436	6797	8756
437	6808	8736
438	6819	8714
439	7149	9098
440	7248	9188
441	7359	9291
442	7431	9344
443	7498	9389
444	7549	9416
445	7572	9406
446	7592	9393
447	7614	9381
448	7633	9367
449	7654	9355
450	7676	9344
451	7701	9336
452	7724	9326
453	7750	9321
454	7771	9309
455	7791	9295
456	7811	9281
457	7832	9269
458	7855	9258
459	7873	9242
460	7897	9233
461	7918	9220
462	7960	9232
463	7995	9235
464	8043	9254
465	8071	9249
466	8117	9264
467	8151	9266
468	8177	9258
469	8203	9250
470	8226	9239
471	8257	9236
472	8280	9225
473	8303	9214
474	8317	9192
475	8329	9169
476	8358	9164
477	8370	9141
478	8382	9117
479	8395	9095
480	8406	9070
481	8418	9047
482	8429	9023
483	8443	9001
484	8454	8977
485	8467	8955
486	8482	8934
487	8527	8947
488	8539	8923
489	8553	8902
490	8563	8877
491	8575	8854
492	8586	8830
493	8597	8806
494	8608	8782
495	8620	8759
496	8631	8736
497	8642	8712
498	8655	8689
499	8665	8665
500	8677	8643
501	8688	8619
502	8700	8596
503	8714	8575
504	8730	8557
505	8745	8538
506	8759	8517
507	8774	8498
508	8788	8477
509	8803	8458
510	8817	8438
511	8832	8418
512	8847	8399
513	8861	8378
514	8875	8358
515	8889	8338
516	8902	8317
517	8917	8297
518	8932	8278
519	8946	8258
520	8959	8237
521	8983	8226
522	9009	8217
523	9041	8212
524	9061	8198
525	9076	8178
526	9090	8158
527	9123	8155
528	9138	8136
529	9152	8116
530	9165	8095
531	9180	8076
532	9194	8056
533	9209	8036
534	9223	8016
535	9238	7997
536	9252	7977
537	9266	7957
538	9279	7936
539	9294	7917
540	9308	7897
541	9323	7878
542	9340	7860
543	9355	7841
544	9368	7821
545	9390	7808
546	9404	7788
547	9418	7768
548	9433	7749
549	9450	7731
550	9463	7711
551	9482	7696
552	9497	7677
553	9514	7659
554	9528	7640
555	9543	7620
556	9571	7612
557	9590	7596
558	9605	7577
559	9618	7557
560	9632	7537
561	9647	7518
562	9662	7499
563	9675	7479
564	9690	7460
565	9705	7441
566	9719	7422
567	9734	7403
568	9748	7384
569	9762	7364
570	9776	7345
571	9790	7325
572	9805	7307
573	9821	7288
574	9834	7269
575	9849	7250
576	9863	7231
577	9877	7211
578	9892	7192
579	9905	7173
580	9919	7153
581	9933	7134
582	9948	7115
583	9962	7096
584	9985	7083
585	10000	7065
586	10014	7046
587	10029	7027
588	10043	7008
589	10058	6989
590	10078	6974
591	10105	6964
592	10141	6960
593	10155	6941
594	10167	6921
595	10177	6899
596	10189	6878
597	10200	6857
598	10212	6837
599	10222	6815
600	10233	6793
601	10244	6772
602	10254	6751
603	10264	6729
604	10274	6708
605	10285	6687
606	10296	6666
607	10306	6644
608	10316	6623
609	10327	6602
610	10340	6583
611	10351	6562
612	10361	6541
613	10370	6519
614	10380	6498
615	10390	6477
616	10400	6456
617	10410	6434
618	10420	6413
619	10430	6392
620	10441	6372
621	10451	6351
622	10461	6330
623	10476	6312
624	10489	6293
625	10500	6273
626	10510	6252
627	10521	6232
628	10531	6211
629	10541	6191
630	10552	6170
631	10562	6150
632	10572	6129
633	10582	6109
634	10592	6088
635	10606	6070
636	10623	6053
637	10633	6033
638	10645	6014
639	10655	5993
640	10665	5973
641	10675	5953
642	10685	5932
643	10695	5912
644	10705	5892
645	10716	5872
646	10726	5852
647	10735	5831
648	10745	5811
649	10755	5791
650	10765	5771
651	10775	5751
652	10785	5731
653	10795	5711
654	10805	5691
655	10815	5671
656	10825	5651
657	10835	5631
658	10845	5612
659	10856	5592
660	10866	5573
661	10877	5553
662	10887	5533
663	10896	5513
664	10906	5494
665	10915	5474
666	10925	5454
667	10936	5435
668	10946	5415
669	10958	5397
670	10972	5379
671	10984	5361
672	10994	5341
673	11004	5322
674	11014	5303
675	11024	5283
676	11034	5264
677	11044	5245
678	11054	5225
679	11063	5206
680	11073	5187
681	11083	5167
682	11093	5148
683	11103	5129
684	11113	5110
685	11144	5101
686	11167	5087
687	11179	5069
688	11189	5050
689	11200	5032
690	11211	5013
691	11221	4994
692	11234	4976
693	11247	4959
694	11258	4940
695	11268	4921
696	11279	4903
697	11290	4885
698	11303	4867
699	11314	4849
700	11328	4831
701	11340	4814
702	11353	4796
703	11364	4778
704	11375	4759
705	11385	4741
706	11395	4722
707	11405	4703
708	11415	4685
709	11426	4667
710	11436	4648
711	11447	4630
712	11464	4614
713	11481	4599
714	11492	4581
715	11503	4562
716	11513	4544
717	11523	4525
718	11533	4507
719	11543	4489
720	11555	4471
721	11565	4453
722	11576	4435
723	11586	4417
724	11596	4398
725	11606	4380
726	11616	4362
727	11626	4343
728	11635	4325
729	11645	4307
730	11661	4291
731	11677	4275
732	11691	4258
733	11701	4240
734	11711	4222
735	11722	4204
736	11731	4186
737	11742	4168
738	11751	4150
739	11763	4133
740	11773	4115
741	11783	4097
742	11792	4079
743	11802	4060
744	11812	4043
745	11823	4025
746	11833	4007
747	11844	3990
748	11854	3972
749	11864	3954
750	11874	3937
751	11884	3919
752	11895	3901
753	11905	3884
754	11915	3866
755	11925	3849
756	11935	3831
757	11947	3814
758	11961	3797
759	11974	3781
760	11985	3764
761	11995	3746
762	12004	3728
763	12014	3711
764	12024	3693
765	12035	3676
766	12045	3659
767	12055	3641
768	12064	3624
769	12075	3606
770	12085	3589
771	12095	3572
772	12105	3555
773	12115	3537
774	12125	3520
775	12135	3503
776	12168	3492
777	12188	3477
778	12206	3463
779	12217	3445
780	12228	3429
781	12239	3411
782	12249	3394
783	12259	3377
784	12270	3360
785	12279	3343
786	12289	3326
787	12300	3309
788	12310	3292
789	12323	3275
790	12333	3258
791	12343	3241
792	12353	3224
793	12363	3207
794	12373	3190
795	12383	3173
796	12393	3156
797	12403	3139
798	12413	3122
799	12424	3106
800	12435	3089
801	12449	3073
802	12461	3057
803	12472	3040
804	12483	3023
805	12493	3007
806	12504	2990
807	12514	2973
808	12525	2957
809	12535	2940
810	12545	2923
811	12556	2907
812	12567	2890
813	12576	2873
814	12586	2857
815	12596	2840
816	12606	2823
817	12616	2807
818	12627	2790
819	12637	2774
820	12647	2757
821	12656	2740
822	12669	2724
823	12680	2708
824	12690	2691
825	12701	2675
826	12725	2662
827	12735	2645
828	12749	2629
829	12759	2613
830	12772	2597
831	12783	2581
832	12793	2564
833	12803	2548
834	12813	2531
835	12823	2515
836	12833	2499
837	12844	2482
838	12854	2466
839	12864	2450
840	12875	2434
841	12885	2417
842	12895	2401
843	12905	2385
844	12915	2369
845	12925	2352
846	12935	2336
847	12951	2321
848	12964	2305
849	12981	2290
850	13003	2276
851	13023	2262
852	13034	2246
853	13043	2230
854	13054	2213
855	13063	2197
856	13075	2181
857	13085	2165
858	13095	2149
859	13105	2133
860	13117	2117
861	13128	2101
862	13138	2085
863	13148	2069
864	13158	2053
865	13198	2042
866	13209	2026
867	13220	2010
868	13237	1995
869	13252	1980
870	13267	1965
871	13283	1949
872	13298	1934
873	13315	1919
874	13329	1904
875	13344	1888
876	13358	1873
877	13373	1858
878	13386	1842
879	13399	1827
880	13415	1812
881	13431	1796
882	13451	1782
883	13468	1767
884	13483	1752
885	13496	1736
886	13510	1721
887	13523	1705
888	13538	1690
889	13552	1675
890	13567	1659
891	13581	1644
892	13594	1628
893	13610	1613
894	13625	1598
895	13639	1583
896	13652	1567
897	13666	1552
898	13681	1537
899	13695	1521
900	13710	1506
901	13723	1491
902	13738	1475
903	13760	1461
904	13784	1446
905	13802	1432
906	13817	1416
907	13830	1401
908	13843	1385
909	13858	1370
910	13873	1355
911	13888	1340
912	13902	1324
913	13916	1309
914	13939	1294
915	13957	1279
916	13971	1264
917	13985	1249
918	14000	1233
919	14017	1218
920	14032	1203
921	14046	1188
922	14060	1172
923	14076	1157
924	14092	1142
925	14105	1127
926	14119	1111
927	14133	1096
928	14148	1081
929	14162	1066
930	14177	1050
931	15436	1126
932	15449	1109
933	15462	1092
934	15473	1075
935	15483	1058
936	15494	1041
937	15504	1024
938	15515	1007
939	15526	991
940	15537	974
941	15547	957
942	15557	940
943	15567	923
944	15578	906
945	15588	889
946	15598	872
947	15608	856
948	15618	839
949	15627	822
950	15637	805
951	15648	788
952	15658	772
953	15668	755
954	15678	738
955	15688	722
956	15698	705
957	15709	688
958	15719	672
959	15729	655
960	15739	638
961	15748	622
962	15759	605
963	15769	588
964	15779	572
965	15790	555
966	15800	539
967	15810	522
968	15819	506
969	15829	489
970	15839	473
971	15848	456
972	15858	440
973	15875	423
974	15891	407
975	15901	391
976	15914	374
977	15928	358
978	15942	341
979	15955	325
980	15966	309
981	15976	292
982	15986	276
983	15996	260
984	16008	243
985	16018	227
986	16029	211
987	16039	194
988	16049	178
989	16060	162
990	16070	145
991	16080	129
992	16091	113
993	16101	97
994	16112	80
995	16122	64
996	16133	48
997	16144	32
998	16154	16
999	16164	0
